block,flat_type,unit_no,floor,stack,status,size,cost
101A,2-Room Flexi (Short Lease/99-Year Lease),#01-121,01,121,available,38 Sqm,"$51,700 - 15 Years
$62,000 - 20 Years
$70,600 - 25 Years
$77,600 - 30 Years
$83,500 - 35 Years
$88,500 - 40 Years
$92,800 - 45 Years
$155,100 - 99 Years"
101A,2-Room Flexi (Short Lease/99-Year Lease),#02-121,02,121,available,38 Sqm,"$54,300 - 15 Years
$65,100 - 20 Years
$74,100 - 25 Years
$81,400 - 30 Years
$87,600 - 35 Years
$92,900 - 40 Years
$97,400 - 45 Years
$162,800 - 99 Years"
101A,2-Room Flexi (Short Lease/99-Year Lease),#03-121,03,121,available,38 Sqm,"$55,100 - 15 Years
$66,100 - 20 Years
$75,200 - 25 Years
$82,700 - 30 Years
$89,000 - 35 Years
$94,400 - 40 Years
$98,900 - 45 Years
$165,300 - 99 Years"
101A,2-Room Flexi (Short Lease/99-Year Lease),#04-121,04,121,booked,,
101A,2-Room Flexi (Short Lease/99-Year Lease),#05-121,05,121,available,38 Sqm,"$56,800 - 15 Years
$68,100 - 20 Years
$77,500 - 25 Years
$85,200 - 30 Years
$91,700 - 35 Years
$97,200 - 40 Years
$101,900 - 45 Years
$170,300 - 99 Years"
101A,2-Room Flexi (Short Lease/99-Year Lease),#06-121,06,121,booked,,
101A,2-Room Flexi (Short Lease/99-Year Lease),#01-123,01,123,booked,,
101A,2-Room Flexi (Short Lease/99-Year Lease),#02-123,02,123,available,47 Sqm,"$68,700 - 15 Years
$82,400 - 20 Years
$93,700 - 25 Years
$103,000 - 30 Years
$110,900 - 35 Years
$117,600 - 40 Years
$123,300 - 45 Years
$206,000 - 99 Years"
101A,2-Room Flexi (Short Lease/99-Year Lease),#03-123,03,123,available,47 Sqm,"$69,500 - 15 Years
$83,400 - 20 Years
$94,900 - 25 Years
$104,300 - 30 Years
$112,200 - 35 Years
$119,000 - 40 Years
$124,800 - 45 Years
$208,500 - 99 Years"
101A,2-Room Flexi (Short Lease/99-Year Lease),#04-123,04,123,booked,,
101A,2-Room Flexi (Short Lease/99-Year Lease),#05-123,05,123,booked,,
101A,2-Room Flexi (Short Lease/99-Year Lease),#06-123,06,123,booked,,
101A,2-Room Flexi (Short Lease/99-Year Lease),#02-125,02,125,available,47 Sqm,"$68,700 - 15 Years
$82,400 - 20 Years
$93,700 - 25 Years
$103,000 - 30 Years
$110,900 - 35 Years
$117,600 - 40 Years
$123,300 - 45 Years
$206,000 - 99 Years"
101A,2-Room Flexi (Short Lease/99-Year Lease),#03-125,03,125,available,47 Sqm,"$69,500 - 15 Years
$83,400 - 20 Years
$94,900 - 25 Years
$104,300 - 30 Years
$112,200 - 35 Years
$119,000 - 40 Years
$124,800 - 45 Years
$208,500 - 99 Years"
101A,2-Room Flexi (Short Lease/99-Year Lease),#04-125,04,125,booked,,
101A,2-Room Flexi (Short Lease/99-Year Lease),#05-125,05,125,booked,,
101A,2-Room Flexi (Short Lease/99-Year Lease),#06-125,06,125,booked,,
101A,2-Room Flexi (Short Lease/99-Year Lease),#02-127,02,127,available,38 Sqm,"$54,300 - 15 Years
$65,100 - 20 Years
$74,100 - 25 Years
$81,400 - 30 Years
$87,600 - 35 Years
$92,900 - 40 Years
$97,400 - 45 Years
$162,800 - 99 Years"
101A,2-Room Flexi (Short Lease/99-Year Lease),#03-127,03,127,available,38 Sqm,"$55,100 - 15 Years
$66,100 - 20 Years
$75,200 - 25 Years
$82,700 - 30 Years
$89,000 - 35 Years
$94,400 - 40 Years
$98,900 - 45 Years
$165,300 - 99 Years"
